#######################################
filename, sn name, jd, wmin, wmax, flag
1991T_19910418.fits,1991T,2448364.667,3300.0,8150.0,1
1991T_19910419a.fits,1991T,2448365.667,4855.0,6780.0,1
1991T_19910419b.fits,1991T,2448365.667,3080.0,9601.0,1
1991T_19910420.fits,1991T,2448366.656,3510.0,10030.0,1
1991T_19910421a.fits,1991T,2448367.642,5200.0,12000.0,1
1991T_19910421b.fits,1991T,2448367.625,3510.0,10030.0,1
1991T_19910421c.fits,1991T,2448367.5,3250.0,7530.0,1
1991T_19910422.fits,1991T,2448368.688,3510.0,10030.0,1
1991T_19910425.fits,1991T,2448371.5,3026.0,10433.0,1
1991T_19910505.fits,1991T,2448381.5,3102.0,9790.0,1
1991T_19910508.fits,1991T,2448384.5,3169.0,9804.0,1
1991T_19910513.fits,1991T,2448389.5,2931.0,7686.0,1
1991T_19910520.fits,1991T,2448396.583,5700.0,10000.0,1
1991T_19910523.fits,1991T,2448399.5,3078.0,7672.0,1
1991T_19910612.fits,1991T,2448419.5,3284.6,9627.6,1
1991T_19910613.fits,1991T,2448420.5,3282.0,9577.0,1
1991T_19910621.fits,1991T,2448428.5,3647.15,10025.0,1
1991T_19910813.fits,1991T,2448481.502,4500.0,7160.0,1
1991T_19911130.fits,1991T,2448590.5,4180.0,8460.0,1
1991T_19920205.fits,1991T,2448657.847,3560.0,9660.0,1
1991T_19920213.fits,1991T,2448665.625,4035.0,8390.0,1
1991T_19920229.fits,1991T,2448681.833,4454.0,7119.0,1
1991T_19930123.fits,1991T,2449010.792,3703.86,6982.95,1
1991T_19930227.fits,1991T,2449045.833,3413.4,9100.7,1
1991T_19930427.fits,1991T,2449104.688,3712.61,9864.42,1
1991T_19940317.fits,1991T,2449428.5,4007.57,5997.57,2
1991T_19940510.fits,1991T,2449482.652,3698.28,6887.71,2
1991T_19940515.fits,1991T,2449487.5,3549.63,5412.0,3
1991T_19960317.fits,1991T,2450159.819,3754.0,6932.42,1
1992A_19920113a.fits,1992A,2448634.579,3315.35,8368.85,1
1992A_19920113.fits,1992A,2448634.5,2645.0,8350.0,1
1992A_19920114a.fits,1992A,2448635.5,5866.5,10050.0,1
1992A_19920114b.fits,1992A,2448635.5,4160.0,7950.0,1
1992A_19920114.fits,1992A,2448635.614,3544.0,7096.94,1
1992A_19920115.fits,1992A,2448636.5,4167.0,7950.0,1
1992A_19920116.fits,1992A,2448637.5,4160.0,7950.0,1
1992A_19920123.fits,1992A,2448644.5,3330.0,7344.0,1
1992A_19920124a.fits,1992A,2448645.642,1630.24,4783.54,1
1992A_19920124.fits,1992A,2448645.5,3219.97,8960.94,1
1992A_19920125a.fits,1992A,2448646.55,4784.06,8118.6,1
1992A_19920125.fits,1992A,2448646.5,3280.0,7344.0,1
1992A_19920128.fits,1992A,2448649.545,3144.29,9885.02,1
1992A_19920201.fits,1992A,2448653.646,3470.0,7120.0,1
1992A_19920204.fits,1992A,2448656.584,3560.0,9660.0,1
1992A_19920205.fits,1992A,2448657.545,3690.0,5300.0,1
1992A_19920304.fits,1992A,2448685.608,1623.33,4783.12,1
1992A_19920305.fits,1992A,2448686.651,3096.77,7713.6,1
1992A_19920311.fits,1992A,2448692.5,4160.0,10050.0,1
1992A_19920901.fits,1992A,2448866.5,3720.0,9874.0,1
1992A_19920902.fits,1992A,2448867.5,3720.0,9874.0,1
1992A_19921023.fits,1992A,2448918.792,4441.56,7111.76,1
1992A_19921130.fits,1992A,2448956.75,3706.87,9765.54,1
1992A_19921202.fits,1992A,2448958.66,5722.93,9963.97,1
1992A_19921223.fits,1992A,2448979.688,3705.27,6951.84,1
1992A_19930124.fits,1992A,2449011.583,3703.86,9958.77,1
1992A_19930228.fits,1992A,2449046.833,3293.09,9100.7,2
1992H_19920221.fits,1992H,2448673.5,4895.0,7110.0,1
1992H_19920224.fits,1992H,2448676.5,5037.0,7220.0,1
1992H_19920225.fits,1992H,2448677.5,4520.0,8900.0,1
