1998S 	        50869.2 0.05  50889.2 0.05 50869.2 0.02 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05
 IIn               9999 .00  9999  .00     12.2  .00 9999  .00   9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0
 fit=                                               
 ????          ABg= 0.86 .00 ABi= 0.09 .00  mu= 31.18 0.0 (none)         
UBVRIJHKLM _______________________________________________________________________________________
 Date       JD     U          B          V         R           I      J          H       K        L     M      S note
 ??        50968.6     9999 0   16.06 0.04    15.37 0.03    14.64 0.03   14.22 0.02   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50972.8     9999 0   16.22 0.06    15.65 0.06    15.04 0.04   14.50 0.03   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50974.5     9999 0   16.55 0.042   15.88 0.02    15.07 0.02   14.62 0.013  9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50995.5     9999 0   16.76 0.035   16.17 0.02    15.28 0.015  14.96 0.05   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50999.4     9999 0   16.90 0.05    16.30 0.055   15.30 0.06   15.096 0.025 9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        51000.5     9999 0   16.85 0.03    16.14 0.05    15.35 0.02   15.10 0.04   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        51021.5     9999 0   17.29 0.085   16.64 0.12    15.67 0.04   15.53 0.05   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 01/10/00  51818.03   9999  0      9999 0        9999 0        9999 0     21.50 0.03  9999 0      9999 0      9999 0     9999 0      9999 0   5 Li et. al 2001 filt.F814W 
 16/03/01  51984.16   9999  0      9999 0       24.08 0.06     9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   5 Li et. al 2001 filt.F555W
 ??        50889.0     9999 0      9999 0        9999 0        9999 0      9999 0    12.11 0.01  12.06 0.01 12.05 0.02   9999 0      9999 0   1 Fassia et al,00
 ??        50890.0     9999 0      9999 0        9999 0        9999 0      9999 0    12.07 0.01  12.02 0.01 11.98 0.02   9999 0      9999 0   1 Fassia et al,00
 ??        50890.9     9999 0      9999 0        9999 0        9999 0	   9999 0    12.06 0.01  12.01 0.01 11.98 0.02   9999 0      9999 0   1 Fassia et al,00  
 ??        50891.9     9999 0      9999 0        9999 0        9999 0      9999 0    12.02 0.01  11.97 0.01 11.93 0.04   9999 0      9999 0   1 Fassia et al,00  
 ??        50892.9     9999 0      9999 0        9999 0        9999 0      9999 0    12.02 0.01  11.93 0.02 11.90 0.02   9999 0      9999 0   1 Fassia et al,00
 ??        50924.9     9999 0      9999 0        9999 0        9999 0      9999 0    12.37 0.01   9999 0    9999  0      9999 0      9999 0   1 Fassia et al,00 
 ??        50951.9     9999 0      9999 0        9999 0        9999 0      9999 0    13.36 0.02  13.05 0.03 12.70 0.04   9999 0      9999 0   1 Fassia et al,00
 ??        50976.8     9999 0      9999 0        9999 0        9999 0      9999 0    14.25 0.02  13.92 0.02 13.31 0.05   9999 0      9999 0   1 Fassia et al,00
 ??        50984.8     9999 0      9999 0        9999 0        9999 0      9999 0    14.33 0.01  14.02 0.02 13.43 0.11   9999 0      9999 0   1 Fassia et al,00
 ??        51003.9     9999 0      9999 0        9999 0        9999 0      9999 0    14.73 0.06  14.34 0.06 13.55 0.01   9999 0      9999 0   1 Fassia et al,00
 ??        51004.9     9999 0      9999 0        9999 0        9999 0      9999 0      9999 0     9999 0    13.55 0.01  11.00 0.15   9999 0   1 Fassia et al,00
 ??        50986       9999 0      9999 0        9999 0        9999 0      9999 0    14.37 0.03  14.07 0.05  13.46 0.07  9999 0      9999 0   4 Gerardy etal astroph9912433
 ??        51119       9999 0      9999 0        9999 0        9999 0      9999 0    16.29 0.05  14.83 0.04  13.50 0.04  9999 0      9999 0   4 Gerardy etal astroph9912433
 ??        51152       9999 0      9999 0        9999 0        9999 0      9999 0    16.74 0.08  15.05 0.06  13.62 0.07  9999 0      9999 0   4 Gerardy etal astroph9912433
 ??        51247       9999 0      9999 0        9999 0        9999 0      9999 0    17.26 0.07  15.46 0.04  13.57 0.02  9999 0      9999 0   4 Gerardy etal astroph9912433
 ??        51248       9999 0      9999 0        9999 0        9999 0      9999 0    17.28 0.08  15.46 0.03  13.59 0.03  9999 0      9999 0   4 Gerardy etal astroph9912433
 ??        51688       9999 0      9999 0        9999 0        9999 0      9999 0     9999 0     17.57 0.19  15.38 0.09 9999 0      9999 0    4 Gerardy etal astroph9912433
 ??        50880.0    11.97 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50895.0    11.97 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50900.0    12.5  0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50902.0    12.75 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50920.0    14.0  0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50922.0    14.15 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50925.0    14.35 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50928.0    14.50 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50932.0    14.75 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50935.0    14.90 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50955.0    15.98 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50960.0    16.25 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50980.0    16.65 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50988.0    16.80 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        50997.0    17.00 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        51012.0    17.45 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 ??        51022.0    17.80 0.05   9999 0        9999 0        9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0   2 from CFA figure
 23/01/99  51202.2     9999 0      9999 0        9999 0        9999 0	   9999 0    16.65 0.12  14.81 0.05  13.34 0.02 11.56 0.28   9999 0    6 Pozzo et al. 2004
 03/03/99  51243.2     9999 0      9999 0        9999 0        9999 0	   9999 0    16.80 0.34  14.92 0.13   9999 0    11.52 0.17  11.29 0.86 6 Pozzo et al. 2004
 04/04/99  51274.8     9999 0      9999 0        9999 0        9999 0	   9999 0    17.08 0.25	 15.27 0.08  13.43 0.02	 9999 0	     9999 0    6 Pozzo et al. 2004
 02/05/99  51333.5     9999 0      9999 0        9999 0        9999 0	   9999 0    17.61 0.29	 15.54 0.12  13.81 0.04	11.69 0.13  11.14 0.16 6 Pozzo et al. 2004
 19/12/99  51533.2     9999 0      9999 0        9999 0        9999 0	   9999 0    18.03 0.33	 16.42 0.14  14.45 0.04	11.86 0.18  11.44 0.14 6 Pozzo et al. 2004
 23/01/00  51567.5     9999 0      9999 0        9999 0        9999 0	   9999 0    18.34 0.35	 16.73 0.15  14.56 0.04	11.97 0.26  11.82 0.14 6 Pozzo et al. 2004
 04/02/00  51579.0     9999 0      9999 0        9999 0        9999 0	   9999 0     9999 0      9999 0      9999 0	 9999 0	    12.30 0.12 6 Pozzo et al. 2004
 30/05/00  51696.2     9999 0      9999 0        9999 0        9999 0	   9999 0    18.68 0.27	 17.15 0.16  14.99 0.04	12.20 0.33   9999 0    6 Pozzo et al. 2004
