 1994D           49430.5  0. 49432.5 0. 49434.5 0. 49434.5 0.  49428.5 0.
 Ia               11.30 .00 11.84 .00   11.90 .00  11.86 .00   12.15 .00   
 fit=     -0.54  0.02 0 0            
 NGC4526   ABg= 0.  .00 ABi= 0. .00  mu= 30.92 .00  (SBF Patat, altri 30.86)
UBVRI ___________________________________________________________________
 Date       JD     U          B          V         R           I            S note
 1/3/94  49412.77  9999 .00  9999 .00  9999 .00 18.5  .00  9999  .00  -5 limit 76cm
07/3/94  49418.92  9999 .00  9999 .00  9999 .00 15.09 .00  9999  .00   5 76cm
09/3/94  49420.74  9999 .00  9999 .00  9999 .00 13.87 .00  9999  .00   5 76cm
12/3/94  49423.89  9999 .00 12.86 .00 12.85 .00 12.68 .00 12.78  .00   5 76cm
13/3/94  49424.89  9999 .00 12.53 .00 12.61 .00 12.47 .00 12.50  .00   5 76cm
17/3/94  49428.90  9999 .00 12.00 .00 12.00 .00 11.97 .00 12.06  .00   5 76cm
12/4/94  49454.81  9999 .00 14.26 .00 13.12 .00 12.86 .00 12.51  .00   5 76cm
13/4/94  49455.81  9999 .00 14.28 .00 13.20 .00 12.93 .00 12.57  .00   5 76cm
14/4/94  49456.81  9999 .00  9999 .00 13.26 .00 12.96 .00 12.58  .00   5 76cm
15/4/94  49457.81  9999 .00 14.42 .00 13.39 .00 13.09 .00 12.63  .00   5 76cm
18/4/94  49460.81  9999 .00 14.61 .00 13.59 .00 13.34 .00 12.90  .00   5 76cm
19/4/94  49461.81  9999 .00  9999 .00 13.62 .00 13.39 .00 12.99  .00   5 76cm
20/4/94  49462.78  9999 .00 14.79 .00 13.64 .00 13.41 .00 13.06  .00   5 76cm
21/4/94  49463.78  9999 .00 14.74 .00 13.76 .00 13.53 .00 13.15  .00   5 76cm
22/4/94  49464.79  9999 .00  9999 .00 13.80 .00 13.51 .00 13.22  .00   5 76cm
27/4/94  49469.77  9999 .00 14.90 .00 13.98 .00 13.76 .00 13.47  .00   5 76cm
28/4/94  49470.77  9999 .00 15.03 .00 14.03 .00 13.82 .00 13.55  .00   5 76cm
29/4/94  49471.72  9999 .00  9999 .00 14.11 .00 13.88 .00 13.63  .00   5 76cm
02/5/94  49474.76  9999 .00  9999 .00 14.15 .00 14.04 .00 13.75  .00   5 76cm
03/5/94  49475.75  9999 .00  9999 .00 14.17 .00 14.06 .00 13.81  .00   5 76cm
06/5/94  49478.74  9999 .00  9999 .00 14.26 .00 14.24 .00 13.96  .00   5 76cm
08/5/94  49480.74  9999 .00  9999 .00 14.34 .00 14.19 .00 13.89  .00   5 76cm
10/5/94  49482.73  9999 .00  9999 .00 14.36 .00 14.34 .00 14.10  .00   5 76cm
14/3/94  49425.91  9999 .00 12.37 .00 12.43 .00 12.35 .00 12.35  .00   5 NURO
15/3/94  49426.90  9999 .00 12.28 .00 12.28 .00 12.21 .00 12.22  .00   5 NURO
