 1991T  Iapec
 NGC4527  ABg= 0.02 .00  ABi= 0.55 .00 mu= 30.74 .00  (xx) xxx
_________________________________________________________________________________
UBVRI  JD_MAX   48375.0 .0    48375.32 .0   48377.8 .0  48377  .0   48376  .0
	m_max   9999  .00    11.66  .00     11.51  .00  11.46   .00   11.67  .00     
  Date       JD       U           B           V           R           I        Source  note
 xxxxxxx  48355.    9999  .0   30.0   .0   30.0   .0   30.0   .0    9999  .0  111           # hard limit
 xxxx  48550.    9999  .00  16.44  .0   16.30  .0   16.52  .00   9999  .0     111    # hard limit
#
    0    48386.55  9999   .00 12.208 .016  9999  .00   9999  .00   9999  .00    2 xx
    0    48388.57 12.381 .026 12.408 .016 11.873 .016 11.917 .015  9999  .00    2 xx
    0    48390.50 12.750 .026 12.603 .016 11.974 .016 11.982 .015 12.076 .017   2 xx
    0    48390.50 12.778 .026 12.600 .016 11.971 .016 11.976 .015 12.062 .017   2 xx
    0    48393.62 13.222 .026 12.965 .016 12.150 .016 12.029 .015 12.022 .017   2 xx
    0    48395.55  9999  .00  13.131 .016 12.223 .016  9999  .00   9999  .00    2 xx
    0    48395.56  9999  .00  13.149 .016 12.247 .016  9999  .00   9999  .00    2 xx
    0    48405.59  9999  .00  14.071 .016 12.731 .016 12.378 .015 12.098 .017   2 xx
    0    48405.59  9999  .00  14.071 .017 12.735 .016 12.379 .015 12.111 .017   2 xx
    0    48414.62 14.610 .026 14.302 .016 13.123 .016 12.820 .015 12.421 .017   2 xx
    0    48414.62  9999  .00  14.307 .016  9999  .00   9999  .00   9999  .00    2 xx
    0    48420.47 14.862 .026 14.556 .016 13.423 .016 13.102 .015 12.819 .017   2 xx
    0    48431.49 15.032 .030 14.770 .017 13.744 .016 13.527 .015 13.386 .017   2 xx
    0    48431.49 15.070 .030 14.746 .017 13.754 .016  9999  .00   9999  .00    2 xx
    0    48438.50  9999  .00  14.863 .016 13.936 .016  9999  .00  13.712 .017   2 xx
    0    48439.47  9999  .00  14.931 .016 13.986 .016 13.830 .015 13.738 .017   2 xx
    0    48439.47  9999  .00  14.919 .016 14.018 .016 13.824 .015 13.749 .017   2 xx
    0    48440.46  9999  .00  14.897 .016 14.059 .016 13.859 .001 13.821 .017   2 xx
