2004et	IIP
NGC6946 ABg= 1.48 0.0 ABi= 0.03 0.04 mu= 28.85 0.02 jd_expl= 53270.5 (v=4888km/sec,H0=72km/(secMpc))
_____________________________________________________________________________________________________
UBVRI	JD_MAX	 53279.2 2.0    53279.9 2.0    53288.9  2.0     53294.2 2.0    53323.9 2.0           
       m_max	 12.22	  0.0	12.90	0.0    12.58	0.0	12.16	0.0    11.91   0.0
 Date      JD        U   	 B   	      V    	  R           I              S	    Inst
xxxxxxxx  53273.     9999  .0    30.00 0.0    30.0  0.0   30.0  0.0   9999  0.00     111        
#
15062005  53537.0   9999  0.00   18.35 0.02   16.97 0.02  15.76 0.01  14.99 0.03     4	     xxx
02072005  53554.0   9999  0.00   18.44 0.03   17.13 0.02  15.88 0.01  15.24 0.02     4	     xxx
13072005  53565.41  9999  0.00   18.48 0.07   17.39 0.04  16.11 0.03  15.74 0.03     7	     tsv
14072005  53566.49  9999  0.00	 18.52 0.03   17.20 0.03  16.14 0.03  15.83 0.03     7	     tsv
28072005  53580.38  9999  0.00	 18.62 0.08   17.33 0.03  16.27 0.03  15.99 0.12     7	     tsv
04082005  53587.41  9999  0.00	 18.70 0.06   17.53 0.04  16.34 0.03  16.08 0.03     7	     tsv
10082005  53593.40  9999  0.00	 18.75 0.06   17.47 0.05  16.40 0.03  16.19 0.03     7	     tsv
16082005  53599.41  9999  0.00   18.86 0.07   17.59 0.10  16.49 0.03  16.23 0.04     7	     tsv
24082005  53607.37  9999  0.00   18.84 0.13   17.76 0.08  16.65 0.03  16.42 0.03     7	     tsv
28082005  53611.2   20.17 0.03   18.91 0.02   17.78 0.02  16.71 0.01  16.12 0.01     4       xxx
30082005  53613.39  9999  0.00   18.84 0.05   17.77 0.03  16.68 0.03  16.53 0.05     7	     tsv
31082005  53614.49  9999  0.00	 18.67 0.07   17.87 0.05  9999  0.00  16.43 0.09     7	     tsv
07092005  53621.33  9999  0.00	 18.80 0.08   17.95 0.12  16.76 0.04  16.66 0.06     7	     tsv
14092005  53628.1   9999  0.00   19.08 0.03   17.97 0.02  17.03 0.02  16.39 0.02     4       xxx
14092005  53628.39  9999  0.00   18.95 0.06   17.84 0.06  16.81 0.04  16.61 0.05     7	     tsv
03102005  53647.37  9999  0.00   9999  0.00   18.32 0.18  17.15 0.05  9999  0.00     7	     tsv		      
10102005  53654.0   9999  0.00   19.25 0.02   18.24 0.01  17.39 0.02  16.71 0.09     4       xxx
13102005  53657.11  9999  0.00   19.15 0.05   18.32 0.02  17.31 0.02  16.84 0.018    9       mis
14102005  53658.11  9999  0.00   19.15 0.05   18.31 0.02  17.31 0.02  16.84 0.017    9       mis
25102005  53669.0   9999  0.00   19.40 0.02   18.42 0.01  17.48 0.01  16.76 0.02     4       xxx
27102005  53671.06  9999  0.00   19.43 0.04   18.41 0.02  17.50 0.01  9999  0.00     9       mis
29102005  53673.07  9999  0.00   19.45 0.03   18.51 0.02  17.59 0.02  9999  0.00     9       mis 
01112005  53676.36  9999  0.00   19.44 0.06   18.54 0.04  17.54 0.03  17.32 0.13     7	     tsv
02112005  53677.1   9999  0.00   19.48 0.02   18.54 0.02  17.59 0.02  9999  0.00     9       mis
03112005  53677.8   9999  0.00   19.47 0.03   18.56 0.01  17.56 0.01  16.86 0.04     4       xxx
04112005  53679.04  9999  0.00   19.53 0.03   18.55 0.01  17.61 0.02  17.15 0.02     9       mis
05112005  53680.06  20.26 0.07   19.49 0.02   18.59 0.02  17.65 0.01  17.16 0.02     9       mis
06112005  53681.08  20.27 0.08   19.53 0.02   18.61 0.02  17.70 0.01  17.23 0.02     9       mis
07112005  53682.067 9999  0.00   19.54 0.03   18.61 0.02  17.67 0.02  17.21 0.02     9       mis
07112005  53682.26  9999  0.00   19.45 0.05   18.60 0.04  17.63 0.03  17.62 0.14     7	     tsv
09112005  53684.03  9999  0.00	 9999  0.00   18.70 0.03  17.74 0.02  17.20 0.04     9       mis
09112005  53684.26  9999  0.00   19.27 0.09   18.62 0.10  17.71 0.04  9999  0.00     7	     tsv  
22112005  53697.06  9999  0.00	 19.60 0.04   18.78 0.02  17.91 0.02  9999  0.00     9       mis
23112005  53698.06  9999  0.00	 19.62 0.04   18.79 0.02  17.92 0.02  9999  0.00     9       mis
24112005  53699.05  9999  0.00	 19.66 0.03   18.83 0.02  17.96 0.02  9999  0.00     9       mis
03122005  53708.10  9999  0.00	 9999  0.00   18.94 0.03  18.07 0.02  17.54 0.03     9       mis
05122005  53710.07  20.41 0.07   19.80 0.03   18.99 0.01  18.12 0.01  17.66 0.02     9       mis
06122005  53711.04  9999  0.00   19.79 0.02   18.90 0.03  18.16 0.02  17.64 0.04     9       mis
08122005  53713.08  20.66 0.24   19.83 0.04   19.04 0.02  18.15 0.02  17.64 0.03     9       mis
09122005  53714.06  9999  0.00   19.85 0.04   19.03 0.03  18.11 0.02  17.68 0.03     9       mis
18122005  53723.05  9999  0.00   19.11 0.02   18.29 0.01  9999  0.00  9999  0.00     9       mis
19122005  53724.05  9999  0.00   19.11 0.04   9999  0.00  9999  0.00  9999  0.00     9       mis
20122005  53725.07  9999  0.00   19.01 0.02   18.23 0.02  17.73 0.05  9999  0.00     9       mis
21122005  53726.05  9999  0.00   19.14 0.04   18.33 0.02  17.86 0.05  9999  0.00     9       mis
04012006  53738.05  9999  0.00   19.38 0.04   18.59 0.02  9999  0.00  9999  0.00     9       mis    
05012006  53739.06  9999  0.00   20.22 0.099  19.35 0.04  18.58 0.04  9999  0.00     9       mis 
21052006  53876.2   9999  0.00   9999  0.00   21.43 0.04  20.81 0.02  9999  0.00     4	     xxx
30092006  54008.0   9999  0.00   9999  0.00   22.45 0.08  9999  0.00  9999  0.00     4	     xxx									       
08072007  54289.5   9999  0.00   9999  0.00   23.18 0.01  9999  0.00  22.97 0.02     10	     HST_KM
18012008  54484.8   9999  0.00   9999  0.00   23.23 0.02  9999  0.00  22.80 0.04     10	     HST_KM       
_____________________________________________________________________________________________________________________
JHK	  JD_max	53330.7  2.0	53334.8  2.0	53330.7  2.0
          m_max	        11.43	0.0	11.0610	0.0	10.8438 0.0
  Date    JD         	J   	   	H    		    K         S     Inst
30092004  53278.8  11.8860  0.0376  11.5816  0.0495  11.3338 0.0522   4	    xxx
