  2009jf Ib
  NGC7479   ABg= 0.460 0.0 ABi= 0.2  0.2  mu= 32.65 0.10 jd_expl= 55099.5 (ABg=Schlegel,mu=Tully,vel=2462 32.65pm.06)
______________________________________________________________________
UBVRI   JD_MAX  55116.  2.0   55119.4  2.0   55122.0  2.0   55123.9  2.  55124.8  2.0
     m_max    15.70   0.0    15.60   0.0    15.00   0.0    14.83   0.0    14.59   0.0
  Date        JD             U              B               V             R                 I         S    Inst  
 20091122 55157.52      18.249 0.101    17.683 0.032    16.558 0.029    15.980 0.006    15.511 0.007   8    NTT_sub
 20091123 55158.26      18.141 0.003    17.702 0.005    16.568 0.004    16.000 0.013    15.508 0.012   3    ca_sub
 20091123 55159.35      18.250 0.104    17.718 0.048    16.564 0.050    15.982 0.012    15.594 0.010   4    LT_sub_bg2 
 20091124 55159.56      9999   0.000    17.721 0.254    16.623 0.204    16.014 0.017    15.576 0.016   7    prompt_sub
 20091127 55162.53      9999   0.000    17.800 0.077    16.680 0.057    16.047 0.018    15.633 0.015   7    prompt_sub    
 20091201 55167.32      18.333 0.098    17.830 0.055    16.751 0.059    16.146 0.012    15.793 0.012   4     LT_sub
 20091206  55172.34     18.336 0.068    17.840 0.106    16.802 0.106    16.277 0.009    15.869 0.008   4    LT_sub
 20091229 55195.29      18.456 0.172    18.093 0.198    17.141 0.188     9999  0.000    16.214 0.045   3    ca_sub
 20100102 55199.27      9999   0.081     9999  0.764    17.229 0.058    16.746 0.061    16.273 0.060   3    ca_sub
 20100102 55199.27      17.97  0.000     9999  0.0.0     9999  0.0       9999  0.0       9999  0.0    -3   ca_sub
 20100107 55204.36      18.464 0.067    18.143 0.012    17.324 0.010    16.869 0.006    16.412 0.005   5    not_sub
 20091228 55194.30       9999  0.000     9999  0.000     9999  0.000    16.664 0.075    16.196 0.065   3    ca_sub
 20100618 55368.90       9999 0.000     20.483 0.088    20.164 0.081    19.368 0.042    19.273 0.051   8    NTT_sub
# 20100714 55392.57       9999  0.000    21.840 0.472    20.681 0.420    19.807 0.162    19.972 0.147   3    ca_sub
#################################################################################################################
#              swift
# 2009-09-30  55104.67909    17.44  0.08  17.31  0.05    16.80  0.07      9999  0.0       9999  0.0    10    xx    
# 2009-10-01  55105.54685    17.26  0.07  17.13  0.05    16.53  0.07      9999  0.0       9999  0.0    10    xx    
# 2009-10-04  55108.96816    16.45  0.05  16.28  0.03    15.80  0.05      9999  0.0       9999  0.0    10    xx    
# 2009-10-06  55111.30935    16.04  0.04  15.90  0.03    15.47  0.04      9999  0.0       9999  0.0    10    xx  
# 2009-10-08  55113.25863    15.95  0.04  15.77  0.03    15.35  0.04      9999  0.0       9999  0.0    10    xx    
# 2009-10-10  55115.14052    15.85  0.04  15.67  0.03    15.22  0.04      9999  0.0       9999  0.0    10    xx
# 2009-10-12  55117.210      15.84  0.04  15.60  0.04    15.09  0.04      9999  0.000     9999  0.000  10    xx_man 
# 2009-10-14  55119.150      15.80  0.099 15.60  0.04    15.03  0.04      9999  0.000     9999  0.000  10    xx_man 
# 2009-10-16  55120.53931    15.87  0.04  15.62  0.03    15.03  0.04      9999  0.0       9999  0.0    10    xx    
# 2009-10-18  55122.82450    15.96  0.04  15.62  0.03    15.06  0.04      9999  0.0       9999  0.0    10    xx    
# 2009-10-20  55124.55501    16.15  0.04  15.73  0.03    15.07  0.04      9999  0.0       9999  0.0    10    xx    
# 2009-11-01  55137.14600    17.21  0.07  16.75  0.04    9999   0.05      9999  0.0       9999  0.0    10    xx 
# 2009-11-01  55137.14600    17.51  0.232 16.75  0.04    15.65  0.04      9999  0.000     9999  0.000  10    xx_man 
