 1987A    IIP jd_expl= 46849.8
 LMC    ABg= 0.79 .00 ABi= 0.00 .00 mu= 18.49 .00
____________________________________________________________________________
UBVRI  JD_max  46849.69 .00 46951.69 .00 46849.69 .00  46829.69 .00 46829.69 .00
       m_max        9999 .00  9999 .00  9999 .00   9999 .00  9999 .00
  Date       JD         U        B         V         R         I        S       notes             
  xxxxx    46849.      .00 .00  30.  .00  30.  .00  30.  .00  9999 .00  111      
#
   280.    47080.58   8.68 .00  6.83 .00  5.38 .00  4.26 .00  3.72 .00  1        
   281.    47081.54   8.68 .00  6.83 .00  5.39 .00  4.28 .00  3.74 .00  1        
   282.    47082.62   8.70 .00  6.84 .00  5.40 .00  4.29 .00  3.74 .00  1        
   285.    47085.48   8.69 .00  6.87 .00  5.43 .00  4.30 .00  3.75 .00  1        
   286.    47086.52   8.67 .00  6.86 .00  5.43 .00  4.32 .00  3.76 .00  1        
   290.    47090.57   8.67 .00  6.88 .00  5.46 .00  4.34 .00  3.79 .00  1        
   296.    47096.37   8.68 .00  6.94 .00  5.52 .00  4.40 .00  3.84 .00  1        
   298.    47098.45   8.68 .00  6.94 .00  5.55 .00  4.42 .00  3.86 .00  1        
   299.    47099.36   8.68 .00  6.95 .00  5.55 .00  4.42 .00  3.87 .00  1        
   300.    47100.46   8.69 .00  6.96 .00  5.57 .00  4.44 .00  3.89 .00  1        
   301.    47101.40   8.68 .00  6.97 .00  5.57 .00  4.44 .00  3.89 .00  1        
   302.    47102.44   8.68 .00  6.97 .00  5.58 .00  4.45 .00  3.88 .00  1        
   303.    47103.44   8.69 .00  6.98 .00  5.59 .00  4.46 .00  3.89 .00  1        
   304.    47104.51   8.68 .00  6.99 .00  5.60 .00  4.47 .00  3.92 .00  1        
   305.    47105.44   8.68 .00  6.99 .00  5.61 .00  4.48 .00  3.93 .00  1        
   306.    47106.37   8.69 .00  7.00 .00  5.62 .00  4.49 .00  3.93 .00  1        
   307.    47107.58   8.69 .00  7.01 .00  5.64 .00  4.50 .00  3.95 .00  1        
   308.    47108.48   8.66 .00  6.98 .00  5.61 .00  4.47 .00  3.92 .00  1        
   309.    47109.51   8.68 .00  7.01 .00  5.64 .00  4.49 .00  3.95 .00  1        
   310.    47110.35   8.69 .00  7.02 .00  5.66 .00  4.52 .00  3.96 .00  1        
   313.    47113.28   8.69 .00  7.05 .00  5.69 .00  4.55 .00  4.00 .00  1        
   314.    47114.29   8.69 .00  7.06 .00  5.69 .00  4.54 .00  4.01 .00  1        
   315.    47115.37   8.69 .00  7.06 .00  5.71 .00  4.57 .00  4.01 .00  1        
   316.    47116.33   8.69 .00  7.07 .00  5.72 .00  4.57 .00  4.02 .00  1        
   318.    47118.43   8.70 .00  7.07 .00  5.73 .00  4.59 .00  4.05 .00  1        
   319.    47119.26   8.68 .00  7.08 .00  5.73 .00  4.57 .00  4.04 .00  1        
   320.    47120.38   8.70 .00  7.10 .00  5.76 .00  4.60 .00  4.05 .00  1        
   321.    47121.47   8.70 .00  7.10 .00  5.76 .00  4.62 .00  4.07 .00  1        
   322.    47122.45   8.70 .00  7.12 .00  5.77 .00  4.62 .00  4.08 .00  1        
   323.    47123.29   8.72 .00  7.12 .00  5.79 .00  4.62 .00  4.09 .00  1        
   323.    47123.47   8.70 .00  7.11 .00  5.79 .00  4.63 .00  4.09 .00  1        
   324.    47124.32   8.69 .00  7.12 .00  5.79 .00  4.64 .00  4.10 .00  1        
   325.    47125.36   8.70 .00  7.13 .00  5.80 .00  4.65 .00  4.11 .00  1        
   326.    47126.45   8.70 .00  7.14 .00  5.82 .00  4.66 .00  4.14 .00  1        
   327.    47127.39   8.70 .00  7.15 .00  5.82 .00  4.68 .00  4.13 .00  1        
   329.    47129.34   8.69 .00  7.15 .00  5.84 .00  4.69 .00  4.14 .00  1        
   331.    47131.37   8.69 .00  7.16 .00  5.86 .00  4.71 .00  4.16 .00  1        
   332.    47132.47   8.70 .00  7.17 .00  5.87 .00  4.72 .00  4.18 .00  1        
   333.    47133.42   8.71 .00  7.18 .00  5.88 .00  4.73 .00  4.18 .00  1        
   335.    47135.43   8.70 .00  7.19 .00  5.90 .00  4.75 .00  4.21 .00  1        
   336.    47136.39   8.72 .00  7.21 .00  5.91 .00  4.76 .00  4.23 .00  1        
   338.    47138.45   8.71 .00  7.21 .00  5.93 .00  4.78 .00  4.24 .00  1        
   341.    47141.34   8.71 .00  7.23 .00  5.95 .00  4.81 .00  4.27 .00  1        
   342.    47142.39   8.70 .00  7.24 .00  5.97 .00  4.82 .00  4.28 .00  1        
   343.    47143.34   8.70 .00  7.24 .00  5.97 .00  4.83 .00  4.29 .00  1        
   344.    47144.36   8.71 .00  7.25 .00  5.98 .00  4.84 .00  4.30 .00  1        
   345.    47145.27   8.67 .00  7.25 .00  5.99 .00  4.84 .00  4.31 .00  1        
   347.    47147.33   8.71 .00  7.26 .00  6.00 .00  4.86 .00  4.31 .00  1        
   348.    47148.28   8.69 .00  7.27 .00  6.00 .00  4.86 .00  4.33 .00  1        
   349.    47149.36   8.71 .00  7.29 .00  6.03 .00  4.88 .00  4.35 .00  1        
   352.    47152.33   8.72 .00  7.30 .00  6.06 .00  4.92 .00  4.38 .00  1        
   352.    47152.43   8.72 .00  7.29 .00  6.05 .00  4.92 .00  4.39 .00  1        
   353.    47153.43   8.72 .00  7.31 .00  6.07 .00  4.93 .00  4.40 .00  1        
   354.    47154.51   8.72 .00  7.32 .00  6.07 .00  4.93 .00  4.41 .00  1        
   355.    47155.44   8.72 .00  7.33 .00  6.09 .00  4.95 .00  4.42 .00  1        
   356.    47156.32   8.74 .00  7.34 .00  6.10 .00  4.96 .00  4.44 .00  1        
   357.    47157.33   8.73 .00  7.34 .00  6.11 .00  4.98 .00  4.44 .00  1        
   358.    47158.30   8.72 .00  7.34 .00  6.11 .00  4.97 .00  4.45 .00  1        
   359.    47159.33   8.74 .00  7.35 .00  6.12 .00  4.98 .00  4.46 .00  1        
   360.    47160.37   8.73 .00  7.36 .00  6.13 .00  5.00 .00  4.47 .00  1        
